< 1m,2016-09-20,TCSERVER03,ADCBuddyhandler,2843093,26.2287775723
> 1m - 2m,2016-09-20,TCSERVER03,ADCBuddyhandler,1029169,9.4945345739
> 2m - 3m,2016-09-20,TCSERVER03,ADCBuddyhandler,761687,7.0268960258
> 3m - 5m,2016-09-20,TCSERVER03,ADCBuddyhandler,805165,7.4279996096
> 5m - 10m,2016-09-20,TCSERVER03,ADCBuddyhandler,969444,8.9435453025
> 10m - 15m,2016-09-20,TCSERVER03,ADCBuddyhandler,810380,7.4761102676
> 15m - 20m,2016-09-20,TCSERVER03,ADCBuddyhandler,624033,5.7569776137
> 20m - 30m,2016-09-20,TCSERVER03,ADCBuddyhandler,769561,7.0995371229
> 30m,2016-09-20,TCSERVER03,ADCBuddyhandler,2227062,20.5456219117
TOTAL,2016-09-20,TCSERVER03,ADCBuddyhandler,10839594,100
< 1m,2016-09-20,TCSERVER03,ADCTNThandler,3210463,46.4350273840
> 1m - 2m,2016-09-20,TCSERVER03,ADCTNThandler,1605370,23.2195169082
> 2m - 3m,2016-09-20,TCSERVER03,ADCTNThandler,914214,13.2228753687
> 3m - 5m,2016-09-20,TCSERVER03,ADCTNThandler,722736,10.4534037463
> 5m - 10m,2016-09-20,TCSERVER03,ADCTNThandler,461062,6.6686414376
> 10m - 15m,2016-09-20,TCSERVER03,ADCTNThandler,37,0.0005351552
> 15m - 20m,2016-09-20,TCSERVER03,ADCTNThandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER03,ADCTNThandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER03,ADCTNThandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER03,ADCTNThandler,6913882,100
< 1m,2016-09-20,TCSERVER03,CDRAdapter,15063453,77.3959817572
> 1m - 2m,2016-09-20,TCSERVER03,CDRAdapter,4399383,22.6040182428
> 2m - 3m,2016-09-20,TCSERVER03,CDRAdapter,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER03,CDRAdapter,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER03,CDRAdapter,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER03,CDRAdapter,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER03,CDRAdapter,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER03,CDRAdapter,0,0.0000000000
> 30m,2016-09-20,TCSERVER03,CDRAdapter,0,0.0000000000
TOTAL,2016-09-20,TCSERVER03,CDRAdapter,19462836,100
< 1m,2016-09-20,TCSERVER03,Notification,456789,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER03,Notification,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER03,Notification,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER03,Notification,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER03,Notification,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER03,Notification,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER03,Notification,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER03,Notification,0,0.0000000000
> 30m,2016-09-20,TCSERVER03,Notification,0,0.0000000000
TOTAL,2016-09-20,TCSERVER03,Notification,456789,100
< 1m,2016-09-20,TCSERVER03,ServiceEventHandler,1709360,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER03,ServiceEventHandler,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER03,ServiceEventHandler,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER03,ServiceEventHandler,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER03,ServiceEventHandler,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER03,ServiceEventHandler,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER03,ServiceEventHandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER03,ServiceEventHandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER03,ServiceEventHandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER03,ServiceEventHandler,1709360,100
< 1m,2016-09-20,TCSERVER03,SMSGateway,269012,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER03,SMSGateway,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER03,SMSGateway,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER03,SMSGateway,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER03,SMSGateway,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER03,SMSGateway,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER03,SMSGateway,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER03,SMSGateway,0,0.0000000000
> 30m,2016-09-20,TCSERVER03,SMSGateway,0,0.0000000000
TOTAL,2016-09-20,TCSERVER03,SMSGateway,269012,100
< 1m,2016-09-20,TCSERVER03,WalletHandler,449716,16.6525894281
> 1m - 2m,2016-09-20,TCSERVER03,WalletHandler,126929,4.7000696518
> 2m - 3m,2016-09-20,TCSERVER03,WalletHandler,83618,3.0963012719
> 3m - 5m,2016-09-20,TCSERVER03,WalletHandler,63344,2.3455728165
